drug1;object;drug2;precipitant;certainty;contraindication;dateAnnotated;ddiPkEffect;ddiPkMechanism;effectConcept;homepage;label;numericVal;objectUri;pathway;precaution;precipUri;severity;uri;whoAnnotated;source;ddiType;evidence;evidenceSource;evidenceStatement;researchStatementLabel;researchStatement
http://bio2rdf.org/drugbank:DB01224;quetiapine;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of quetiapine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations46;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00679;thioridazine;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of thioridazine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations59;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01267;paliperidone;http://bio2rdf.org/drugbank:DB00715;paroxetine;None;None;None;None;None;None;None;paroxetine increases the AUC of paliperidone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations44;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00363;clozapine;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of clozapine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations58;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00897;triazolam;http://bio2rdf.org/drugbank:DB00199;erythromycin;None;None;None;None;None;None;None;erythromycin increases the AUC of triazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations35;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00897;triazolam;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of triazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations73;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00897;triazolam;http://bio2rdf.org/drugbank:DB00343;diltiazem;None;None;None;None;None;None;None;diltiazem increases the AUC of triazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations1;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00897;triazolam;http://bio2rdf.org/drugbank:DB01026;ketoconazole;None;None;None;None;None;None;None;ketoconazole increases the AUC of triazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations43;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00897;triazolam;http://bio2rdf.org/drugbank:DB00196;fluconazole;None;None;None;None;None;None;None;fluconazole increases the AUC of triazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations11;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00897;triazolam;http://bio2rdf.org/drugbank:DB01149;nefazodone;None;None;None;None;None;None;None;nefazodone increases the AUC of triazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations24;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00897;triazolam;http://bio2rdf.org/drugbank:DB01211;clarithromycin;None;None;None;None;None;None;None;clarithromycin increases the AUC of triazolam ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations4;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00175;pravastatin;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of pravastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations68;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00175;pravastatin;http://bio2rdf.org/drugbank:DB01211;clarithromycin;None;None;None;None;None;None;None;clarithromycin increases the AUC of pravastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations63;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00338;omeprazole;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of omeprazole ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations54;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00656;trazodone;http://bio2rdf.org/drugbank:DB00503;ritonavir;None;None;None;None;None;None;None;ritonavir increases the AUC of trazodone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations85;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00656;trazodone;http://bio2rdf.org/drugbank:DB01211;clarithromycin;None;None;None;None;None;None;None;clarithromycin increases the AUC of trazodone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations60;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00285;venlafaxine;http://bio2rdf.org/drugbank:DB01075;diphenhydramine;None;None;None;None;None;None;None;diphenhydramine increases the AUC of venlafaxine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations76;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00285;venlafaxine;http://bio2rdf.org/drugbank:DB00857;terbinafine;None;None;None;None;None;None;None;terbinafine increases the AUC of venlafaxine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations50;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00285;venlafaxine;http://bio2rdf.org/drugbank:DB00908;quinidine;None;None;None;None;None;None;None;quinidine increases the AUC of venlafaxine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations102;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00285;venlafaxine;http://bio2rdf.org/drugbank:DB01026;ketoconazole;None;None;None;None;None;None;None;ketoconazole increases the AUC of venlafaxine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations41;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00285;venlafaxine;http://bio2rdf.org/drugbank:DB01238;aripiprazole;None;None;None;None;None;None;None;aripiprazole increases the AUC of venlafaxine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations78;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00285;venlafaxine;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of venlafaxine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations64;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00246;ziprasidone;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of ziprasidone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations38;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00476;duloxetine;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of duloxetine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations49;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00476;duloxetine;http://bio2rdf.org/drugbank:DB00715;paroxetine;None;None;None;None;None;None;None;paroxetine increases the AUC of duloxetine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations84;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00908;quinidine;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of quinidine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations66;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01076;atorvastatin;http://bio2rdf.org/drugbank:DB00199;erythromycin;None;None;None;None;None;None;None;erythromycin increases the AUC of atorvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations56;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01076;atorvastatin;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of atorvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations22;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01076;atorvastatin;http://bio2rdf.org/drugbank:DB01211;clarithromycin;None;None;None;None;None;None;None;clarithromycin increases the AUC of atorvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations8;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00425;zolpidem;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of zolpidem ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations80;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00425;zolpidem;http://bio2rdf.org/drugbank:DB01026;ketoconazole;None;None;None;None;None;None;None;ketoconazole increases the AUC of zolpidem ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations32;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00379;mexiletine;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of mexiletine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations53;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00734;risperidone;http://bio2rdf.org/drugbank:DB00285;venlafaxine;None;None;None;None;None;None;None;venlafaxine increases the AUC of risperidone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations21;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00734;risperidone;http://bio2rdf.org/drugbank:DB00715;paroxetine;None;None;None;None;None;None;None;paroxetine increases the AUC of risperidone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations13;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00734;risperidone;http://bio2rdf.org/drugbank:DB00661;verapamil;None;None;None;None;None;None;None;verapamil increases the AUC of risperidone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations81;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01151;desipramine;http://bio2rdf.org/drugbank:DB01104;sertraline;None;None;None;None;None;None;None;sertraline increases the AUC of desipramine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations52;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01151;desipramine;http://bio2rdf.org/drugbank:DB00472;fluoxetine;None;None;None;None;None;None;None;fluoxetine increases the AUC of desipramine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations42;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01151;desipramine;http://bio2rdf.org/drugbank:DB00285;venlafaxine;None;None;None;None;None;None;None;venlafaxine increases the AUC of desipramine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations101;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01151;desipramine;http://bio2rdf.org/drugbank:DB00715;paroxetine;None;None;None;None;None;None;None;paroxetine increases the AUC of desipramine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations75;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01151;desipramine;http://bio2rdf.org/drugbank:DB00215;citalopram;None;None;None;None;None;None;None;citalopram increases the AUC of desipramine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations99;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01151;desipramine;http://bio2rdf.org/drugbank:DB01156;bupropion;None;None;None;None;None;None;None;bupropion increases the AUC of desipramine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations103;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00370;mirtazapine;http://bio2rdf.org/drugbank:DB00715;paroxetine;None;None;None;None;None;None;None;paroxetine increases the AUC of mirtazapine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations37;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00370;mirtazapine;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of mirtazapine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations48;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00715;paroxetine;http://bio2rdf.org/drugbank:DB00857;terbinafine;None;None;None;None;None;None;None;terbinafine increases the AUC of paroxetine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations51;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00715;paroxetine;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of paroxetine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations86;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00502;haloperidol;http://bio2rdf.org/drugbank:DB00285;venlafaxine;None;None;None;None;None;None;None;venlafaxine increases the AUC of haloperidol ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations31;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00277;theophylline;http://bio2rdf.org/drugbank:DB00476;duloxetine;None;None;None;None;None;None;None;duloxetine increases the AUC of theophylline ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations29;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00277;theophylline;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of theophylline ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations74;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00277;theophylline;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of theophylline ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations27;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00448;lansoprazole;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of lansoprazole ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations39;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00448;lansoprazole;http://bio2rdf.org/drugbank:DB00448;lansoprazole;None;None;None;None;None;None;None;lansoprazole increases the AUC of lansoprazole ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations12;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00448;lansoprazole;http://bio2rdf.org/drugbank:DB01211;clarithromycin;None;None;None;None;None;None;None;clarithromycin increases the AUC of lansoprazole ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations57;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00215;citalopram;http://bio2rdf.org/drugbank:DB00501;cimetidine;None;None;None;None;None;None;None;cimetidine increases the AUC of citalopram ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations23;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00641;simvastatin;http://bio2rdf.org/drugbank:DB00199;erythromycin;None;None;None;None;None;None;None;erythromycin increases the AUC of simvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations71;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00641;simvastatin;http://bio2rdf.org/drugbank:DB00343;diltiazem;None;None;None;None;None;None;None;diltiazem increases the AUC of simvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations47;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00641;simvastatin;http://bio2rdf.org/drugbank:DB01026;ketoconazole;None;None;None;None;None;None;None;ketoconazole increases the AUC of simvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations2;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01095;fluvastatin;http://bio2rdf.org/drugbank:DB00196;fluconazole;None;None;None;None;None;None;None;fluconazole increases the AUC of fluvastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations36;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01124;tolbutamide;http://bio2rdf.org/drugbank:DB00176;fluvoxamine;None;None;None;None;None;None;None;fluvoxamine increases the AUC of tolbutamide ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations6;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01182;propafenone;http://bio2rdf.org/drugbank:DB00472;fluoxetine;None;None;None;None;None;None;None;fluoxetine increases the AUC of propafenone ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations33;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00334;olanzapine;http://bio2rdf.org/drugbank:DB00472;fluoxetine;None;None;None;None;None;None;None;fluoxetine increases the AUC of olanzapine ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations72;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00227;lovastatin;http://bio2rdf.org/drugbank:DB01167;itraconazole;None;None;None;None;None;None;None;itraconazole increases the AUC of lovastatin ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations19;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01156;bupropion;http://bio2rdf.org/drugbank:DB00208;ticlopidine;None;None;None;None;None;None;None;ticlopidine increases the AUC of bupropion ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations83;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01156;bupropion;http://bio2rdf.org/drugbank:DB00758;clopidogrel;None;None;None;None;None;None;None;clopidogrel increases the AUC of bupropion ;None;None;None;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations40;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00476;duloxetine;http://bio2rdf.org/drugbank:DB01104;sertraline;None;None;None;None;None;None;None;sertraline is predicted to reduce the clearance of duloxetine by inhibition of CYP2D6;None;None;http://purl.obolibrary.org/obo/PR_000006121;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/122;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB01175;escitalopram;http://bio2rdf.org/drugbank:DB01104;sertraline;None;None;None;None;None;None;None;sertraline is predicted to reduce the clearance of escitalopram by inhibition of CYP2D6;None;None;http://purl.obolibrary.org/obo/PR_000006121;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/123;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00472;fluoxetine;http://bio2rdf.org/drugbank:DB01104;sertraline;None;None;None;None;None;None;None;sertraline is predicted to reduce the clearance of fluoxetine by inhibition of CYP2D6;None;None;http://purl.obolibrary.org/obo/PR_000006121;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/124;None;DIKB;None;None;None;None;None;None
http://bio2rdf.org/drugbank:DB00176;fluvoxamine;http://bio2rdf.org/drugbank:DB01104;sertraline;None;None;None;None;None;None;None;sertraline is predicted to reduce the clearance of fluvoxamine by inhibition of CYP2D6;None;None;http://purl.obolibrary.org/obo/PR_000006121;None;None;None;http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/125;None;DIKB;None;None;None;None;None;None
